KEY|VALUE
B/O BANK INTERNATIONAL INDONESIA*|Bank Internasional Indonesia TBK Pt
B/O CLYDESDALE BANK PLC*|CLYDESDALE BANK PLC
B/O MITSUBISHI UFJ SECURITIES INT*|MITSUBISCHI UFJ SECURITIES
B/O MIZUHO CORPORATE BANK LTD*|Mizuho Corporate Bank Limited
B/O SUMITOMO MITSUI TR BANK LIMIT*|THE SUMITOMO TRUST & BANKING
B/O TURKIYE GARANTI BANKASI A.S*|Turkiye Garanti Bankasi AS
B/O WOORI BANK*|Woori Bank
B/O UNICREDIT SPA*|BANCA FIN ECO SPA
B/O BANCO BILBAO VIZCAYA ARGENTAR*|BANCO BILBAO VIZCAYA
B/O BANCO SANTANDER*|BANCO SANTANDER S.A.
B/O BANK AUDI SAL*|BANK AUDI SAL - AUDI SARADAR GRP
B/O BANK GOSPODARSTWA*|BANK GOSPODARSTWA KRAJOWEGO
B/O BANK OCHRONY SRODOWISKA S.A.*|Bank Ochrony Srodowiska SA
B/O BANK OF THE PHILIPPINE ISLAND*|Bank of the Philippine Islands
B/O BERENBERG BANK*|BERENBERG BANK
B/O BNP PARIBAS PARIS*|BNP Paribas
B/O CHINA MINSHENG BANKING CORP*|China Minsheng Banking Corporation
B/O CITIC BANK INTERNATIONAL LIMIT*|CITIC KA WAH BANK LIMITED
B/O SALOMON INTERNATIONAL BROTHER*|SBIL IPB REF BGI CTI 1101099
B/O CREDIT SUISSE AG*|CREDIT SUISSE
B/O CREDIT SUISSE INTERNATIONAL*|CREDIT SUISSE FIRST BOSTON
B/O FIRST BANK OF NIGERIA LIMITED*|FBN BANK(UK) LTD
B/O HARBIN BANK CO LTD*|Harbin Bank Company
B/O HL BANK, SINGAPORE*|HL BANK
B/O J P MORGAN CLEARING CORP*|J.P. MORGAN CLEARING CORP
